PCA1,PCA2,PCA3,cluster
1.1243515,-0.37939414,0.13044967,1
0.58614475,-0.5586925,0.68558383,1
-0.22481962,2.749246,0.30565462,0
0.17736268,0.5332267,-1.1785731,1
1.0407014,0.44203332,-0.124192774,1
-0.70070714,2.7105927,-0.2654362,0
1.3726519,-0.21434069,-0.21645725,1
-0.984861,-0.3976392,-0.5299689,2
1.2931228,-0.24798924,-0.08257296,1
1.4460421,0.3918227,-0.2469292,1
-0.21599515,-0.32544813,0.4337056,1
1.4167395,0.029543344,0.22271824,1
0.4042633,-0.8608936,0.4766019,1
1.023623,-0.34818548,-0.19107808,1
-0.47124436,0.6946027,0.2517746,1
0.19310912,-0.4174061,-0.57334393,1
1.0859606,0.8506188,-0.11618061,1
0.8826237,-0.21416514,1.0417413,1
-0.025017584,-0.8217939,-0.23146302,1
-2.0955095,-0.058821328,-0.13847183,2
0.30112898,-0.06841056,-0.056681782,1
1.5072254,-0.46309122,-0.4464407,1
-0.4688905,-0.6138522,0.3112233,2
0.93088144,0.26712358,0.6780578,1
1.5096544,-0.36693972,-0.15183048,1
0.25575042,-0.23702256,0.3404858,1
0.78743243,0.018913312,1.5626681,1
-0.15515903,-0.054770704,-0.12268575,1
0.15450583,-0.4335822,0.7932311,1
-0.14264973,-0.6394512,0.3505227,1
-2.0127528,-0.7625764,1.0086359,2
0.6438622,-0.22415449,-0.08492638,1
0.09124636,3.4768293,0.36508664,0
1.4901614,-0.30209458,-0.22988579,1
1.3037549,-0.27065524,1.4566613,1
0.3549589,-0.2979993,-0.66252935,1
-0.16635284,-0.06521498,-1.2319257,1
-0.25326082,-0.9015163,1.2324933,2
1.3111819,1.4052006,0.018618954,1
0.6312379,-0.06933647,-0.67053914,1
0.5096191,-0.60144556,0.56323695,1
0.20994948,-0.89671123,0.47074762,1
0.2506658,-0.5964959,1.320909,1
-1.0506623,2.542896,-1.3093271,0
0.55021906,-0.9563182,1.2286125,1
